         8x3.7SFR                 (8x37SFR.dat)                                                                                                                                     
         v2022-0915                                                                                                                                                                 
         Simulation Date: 08/13/2024                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
        2.36      0.1555      0.3177      0.0452      0.0221       0.000       0.015       0.024       0.348       0.002       0.105      30.770        0.06      15276.    0.3467  
        2.59      0.1710      0.3410      0.0436      0.0219       0.000       0.015       0.023       0.344       0.002       0.101      30.021        0.06      15286.    0.3322  
        2.83      0.1866      0.3625      0.0419      0.0216       0.000       0.014       0.022       0.339       0.002       0.097      29.252        0.06      15295.    0.3173  
        3.06      0.2021      0.3820      0.0401      0.0212       0.000       0.014       0.021       0.334       0.002       0.093      28.460        0.06      15306.    0.3020  
        3.30      0.2176      0.3996      0.0382      0.0208       0.000       0.014       0.020       0.327       0.002       0.089      27.640        0.06      15316.    0.2863  
        3.53      0.2332      0.4150      0.0362      0.0203       0.000       0.014       0.019       0.320       0.002       0.084      26.789        0.06      15328.    0.2701  
        3.77      0.2487      0.4279      0.0341      0.0198       0.000       0.013       0.018       0.312       0.001       0.079      25.901        0.06      15339.    0.2534  
        4.00      0.2643      0.4383      0.0319      0.0192       0.000       0.013       0.017       0.302       0.001       0.074      24.968        0.06      15352.    0.2363  
        4.24      0.2798      0.4457      0.0296      0.0186       0.000       0.012       0.015       0.292       0.001       0.069      23.981        0.06      15364.    0.2186  
        4.48      0.2954      0.4499      0.0272      0.0179       0.000       0.012       0.014       0.281       0.001       0.063      22.931        0.06      15377.    0.2005  
        4.71      0.3109      0.4503      0.0248      0.0171       0.000       0.011       0.013       0.269       0.001       0.058      21.805        0.06      15391.    0.1819  
        4.95      0.3265      0.4464      0.0223      0.0163       0.000       0.011       0.012       0.256       0.001       0.052      20.585        0.06      15405.    0.1628  
        5.18      0.3420      0.4373      0.0197      0.0154       0.000       0.010       0.010       0.243       0.001       0.046      19.249        0.06      15420.    0.1432  
        5.42      0.3576      0.4219      0.0171      0.0145       0.000       0.010       0.009       0.228       0.001       0.040      17.764        0.06      15435.    0.1231  
        5.65      0.3731      0.3987      0.0144      0.0135       0.000       0.009       0.008       0.213       0.001       0.034      16.086        0.06      15451.    0.1025  
        5.89      0.3887      0.3653      0.0117      0.0125       0.000       0.008       0.006       0.196       0.001       0.027      14.150        0.06      15467.    0.0812  
        6.12      0.4042      0.3185      0.0090      0.0114       0.000       0.008       0.005       0.179       0.001       0.021      11.861        0.06      15484.    0.0596  
        6.36      0.4197      0.2530      0.0062      0.0103       0.000       0.007       0.003       0.161       0.001       0.014       9.075        0.06      15501.    0.0378  
        6.60      0.4353      0.1605      0.0033      0.0091       0.000       0.006       0.002       0.142       0.001       0.008       5.551        0.06      15519.    0.0170  
        6.83      0.4508      0.0262      0.0005      0.0078       0.000       0.005       0.000       0.123       0.001       0.001       0.873        0.06      15538.    0.0010  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       3000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0565      0.0218       0.002       0.033       0.066       1.156       0.004       0.295      26.051        0.10      22811.    0.4923  
        0.35      0.0156      0.0398      0.0557      0.0218       0.002       0.033       0.065       1.158       0.004       0.291      25.629        0.10      22818.    0.4809  
        0.71      0.0312      0.0784      0.0549      0.0219       0.002       0.033       0.064       1.160       0.004       0.287      25.196        0.10      22827.    0.4692  
        1.06      0.0468      0.1155      0.0539      0.0219       0.002       0.033       0.063       1.161       0.004       0.282      24.751        0.10      22835.    0.4570  
        1.42      0.0624      0.1511      0.0529      0.0219       0.002       0.033       0.062       1.161       0.004       0.277      24.297        0.10      22845.    0.4444  
        1.77      0.0780      0.1853      0.0519      0.0218       0.002       0.033       0.061       1.160       0.004       0.271      23.832        0.10      22855.    0.4315  
        2.13      0.0936      0.2179      0.0507      0.0218       0.002       0.033       0.060       1.157       0.004       0.265      23.358        0.10      22866.    0.4182  
        2.48      0.1092      0.2490      0.0495      0.0217       0.002       0.032       0.058       1.153       0.004       0.259      22.874        0.10      22877.    0.4045  
        2.84      0.1248      0.2784      0.0482      0.0216       0.002       0.032       0.057       1.146       0.004       0.252      22.381        0.10      22889.    0.3904  
        3.19      0.1404      0.3062      0.0467      0.0214       0.002       0.032       0.055       1.138       0.004       0.244      21.878        0.10      22901.    0.3760  
        3.55      0.1561      0.3322      0.0452      0.0212       0.002       0.032       0.053       1.128       0.004       0.236      21.365        0.10      22915.    0.3612  
        3.90      0.1717      0.3565      0.0436      0.0210       0.001       0.031       0.051       1.115       0.004       0.228      20.841        0.10      22929.    0.3460  
        4.26      0.1873      0.3788      0.0419      0.0207       0.001       0.031       0.049       1.100       0.004       0.219      20.304        0.10      22944.    0.3304  
        4.61      0.2029      0.3993      0.0401      0.0204       0.001       0.030       0.047       1.081       0.003       0.209      19.753        0.10      22959.    0.3144  
        4.97      0.2185      0.4176      0.0382      0.0200       0.001       0.030       0.045       1.060       0.003       0.199      19.185        0.10      22975.    0.2980  
        5.32      0.2341      0.4337      0.0362      0.0195       0.001       0.029       0.042       1.036       0.003       0.189      18.597        0.10      22992.    0.2811  
        5.67      0.2497      0.4474      0.0340      0.0190       0.001       0.028       0.040       1.008       0.003       0.178      17.986        0.10      23010.    0.2638  
        6.03      0.2653      0.4585      0.0318      0.0184       0.001       0.028       0.037       0.978       0.003       0.166      17.345        0.10      23029.    0.2460  
        6.38      0.2809      0.4665      0.0295      0.0178       0.001       0.027       0.035       0.944       0.003       0.154      16.669        0.10      23048.    0.2277  
        6.74      0.2965      0.4712      0.0271      0.0171       0.001       0.026       0.032       0.906       0.003       0.142      15.951        0.10      23068.    0.2089  
        7.09      0.3121      0.4721      0.0247      0.0163       0.001       0.024       0.029       0.866       0.003       0.129      15.182        0.10      23088.    0.1896  
        7.45      0.3277      0.4685      0.0222      0.0155       0.001       0.023       0.026       0.823       0.003       0.116      14.350        0.10      23110.    0.1698  
        7.80      0.3433      0.4596      0.0196      0.0146       0.001       0.022       0.023       0.777       0.002       0.102      13.437        0.10      23132.    0.1495  
        8.16      0.3589      0.4442      0.0170      0.0137       0.001       0.020       0.020       0.727       0.002       0.089      12.420        0.10      23155.    0.1286  
        8.51      0.3745      0.4204      0.0143      0.0127       0.001       0.019       0.017       0.675       0.002       0.075      11.266        0.10      23179.    0.1070  
        8.87      0.3901      0.3858      0.0116      0.0117       0.001       0.017       0.014       0.620       0.002       0.060       9.925        0.10      23203.    0.0848  
        9.22      0.4057      0.3365      0.0088      0.0106       0.001       0.016       0.010       0.562       0.002       0.046       8.324        0.10      23229.    0.0620  
        9.58      0.4213      0.2664      0.0060      0.0094       0.001       0.014       0.007       0.501       0.002       0.031       6.347        0.10      23255.    0.0390  
        9.93      0.4369      0.1651      0.0031      0.0082       0.001       0.012       0.004       0.437       0.001       0.016       3.793        0.10      23282.    0.0168  
       10.29      0.4526      0.0135      0.0002      0.0070       0.000       0.010       0.000       0.369       0.001       0.001       0.299        0.10      23310.    0.0003  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       4000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0566      0.0212       0.004       0.056       0.118       2.662       0.006       0.526      20.137        0.13      30414.    0.5077  
        0.47      0.0156      0.0411      0.0558      0.0212       0.004       0.056       0.117       2.669       0.006       0.518      19.805        0.13      30424.    0.4959  
        0.95      0.0313      0.0808      0.0549      0.0212       0.004       0.056       0.115       2.674       0.006       0.510      19.464        0.13      30435.    0.4836  
        1.42      0.0469      0.1191      0.0540      0.0213       0.004       0.057       0.113       2.677       0.006       0.502      19.114        0.13      30447.    0.4709  
        1.89      0.0625      0.1558      0.0530      0.0213       0.004       0.057       0.111       2.678       0.006       0.493      18.757        0.13      30460.    0.4578  
        2.37      0.0782      0.1910      0.0519      0.0213       0.004       0.057       0.108       2.675       0.006       0.483      18.393        0.13      30473.    0.4443  
        2.84      0.0938      0.2245      0.0508      0.0212       0.004       0.056       0.106       2.670       0.006       0.472      18.022        0.13      30487.    0.4305  
        3.32      0.1094      0.2565      0.0495      0.0211       0.004       0.056       0.103       2.660       0.006       0.460      17.645        0.13      30503.    0.4163  
        3.79      0.1250      0.2867      0.0482      0.0210       0.004       0.056       0.101       2.646       0.006       0.448      17.260        0.13      30519.    0.4017  
        4.26      0.1407      0.3153      0.0468      0.0209       0.004       0.056       0.098       2.628       0.006       0.435      16.870        0.13      30536.    0.3868  
        4.74      0.1563      0.3420      0.0453      0.0207       0.003       0.055       0.095       2.604       0.006       0.421      16.472        0.13      30553.    0.3715  
        5.21      0.1719      0.3670      0.0437      0.0205       0.003       0.054       0.091       2.575       0.006       0.406      16.066        0.13      30572.    0.3559  
        5.68      0.1876      0.3900      0.0420      0.0202       0.003       0.054       0.088       2.539       0.006       0.390      15.651        0.13      30592.    0.3398  
        6.16      0.2032      0.4110      0.0401      0.0198       0.003       0.053       0.084       2.497       0.006       0.373      15.227        0.13      30613.    0.3233  
        6.63      0.2188      0.4300      0.0382      0.0194       0.003       0.052       0.080       2.447       0.006       0.355      14.790        0.13      30634.    0.3065  
        7.10      0.2345      0.4466      0.0362      0.0190       0.003       0.051       0.076       2.391       0.006       0.336      14.340        0.13      30657.    0.2891  
        7.58      0.2501      0.4609      0.0341      0.0185       0.003       0.049       0.071       2.326       0.006       0.316      13.872        0.13      30681.    0.2714  
        8.05      0.2657      0.4724      0.0318      0.0179       0.003       0.048       0.066       2.253       0.005       0.296      13.383        0.13      30705.    0.2531  
        8.53      0.2813      0.4810      0.0295      0.0173       0.003       0.046       0.062       2.173       0.005       0.274      12.869        0.13      30731.    0.2344  
        9.00      0.2970      0.4862      0.0271      0.0166       0.003       0.044       0.057       2.085       0.005       0.252      12.323        0.13      30758.    0.2151  
        9.47      0.3126      0.4875      0.0247      0.0158       0.003       0.042       0.052       1.990       0.005       0.229      11.739        0.13      30785.    0.1954  
        9.95      0.3282      0.4844      0.0221      0.0150       0.003       0.040       0.046       1.888       0.005       0.206      11.108        0.13      30814.    0.1752  
       10.42      0.3439      0.4758      0.0196      0.0141       0.002       0.038       0.041       1.779       0.004       0.182      10.415        0.13      30844.    0.1544  
       10.89      0.3595      0.4605      0.0169      0.0132       0.002       0.035       0.035       1.662       0.004       0.157       9.642        0.13      30874.    0.1330  
       11.37      0.3751      0.4367      0.0142      0.0122       0.002       0.033       0.030       1.539       0.004       0.132       8.763        0.13      30906.    0.1108  
       11.84      0.3908      0.4017      0.0115      0.0112       0.002       0.030       0.024       1.408       0.003       0.107       7.738        0.13      30939.    0.0880  
       12.31      0.4064      0.3513      0.0087      0.0101       0.002       0.027       0.018       1.270       0.003       0.081       6.506        0.13      30973.    0.0644  
       12.79      0.4220      0.2786      0.0059      0.0089       0.002       0.024       0.012       1.125       0.003       0.055       4.969        0.13      31008.    0.0405  
       13.26      0.4377      0.1719      0.0030      0.0077       0.001       0.021       0.006       0.971       0.002       0.028       2.956        0.13      31044.    0.0173  
       13.74      0.4533      0.0085      0.0001      0.0064       0.001       0.017       0.000       0.810       0.002       0.001       0.141        0.13      31081.    0.0002  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       5000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0567      0.0207       0.007       0.086       0.185       5.091       0.010       0.822      16.475        0.16      38018.    0.5196  
        0.59      0.0156      0.0421      0.0559      0.0208       0.007       0.086       0.182       5.105       0.010       0.811      16.199        0.16      38030.    0.5074  
        1.19      0.0313      0.0827      0.0550      0.0208       0.007       0.086       0.180       5.117       0.010       0.799      15.916        0.16      38044.    0.4947  
        1.78      0.0469      0.1218      0.0541      0.0208       0.007       0.087       0.177       5.124       0.010       0.785      15.627        0.16      38059.    0.4816  
        2.37      0.0626      0.1593      0.0531      0.0209       0.007       0.087       0.173       5.126       0.010       0.771      15.332        0.16      38075.    0.4681  
        2.96      0.0782      0.1953      0.0520      0.0208       0.007       0.087       0.170       5.123       0.010       0.755      15.031        0.16      38091.    0.4542  
        3.56      0.0939      0.2296      0.0509      0.0208       0.007       0.086       0.166       5.113       0.010       0.738      14.725        0.16      38109.    0.4400  
        4.15      0.1095      0.2622      0.0496      0.0207       0.007       0.086       0.162       5.096       0.010       0.720      14.414        0.16      38128.    0.4254  
        4.74      0.1252      0.2930      0.0483      0.0206       0.007       0.086       0.158       5.071       0.010       0.701      14.098        0.16      38148.    0.4105  
        5.33      0.1408      0.3222      0.0469      0.0205       0.007       0.085       0.153       5.036       0.010       0.680      13.777        0.16      38169.    0.3952  
        5.93      0.1565      0.3495      0.0454      0.0203       0.007       0.084       0.148       4.991       0.010       0.658      13.450        0.16      38192.    0.3795  
        6.52      0.1721      0.3749      0.0437      0.0201       0.007       0.083       0.143       4.934       0.009       0.635      13.118        0.16      38215.    0.3635  
        7.11      0.1878      0.3985      0.0420      0.0198       0.007       0.082       0.137       4.866       0.009       0.610      12.780        0.16      38240.    0.3471  
        7.70      0.2034      0.4200      0.0402      0.0195       0.006       0.081       0.131       4.785       0.009       0.583      12.433        0.16      38266.    0.3303  
        8.30      0.2191      0.4394      0.0383      0.0191       0.006       0.079       0.125       4.689       0.009       0.555      12.078        0.16      38293.    0.3130  
        8.89      0.2347      0.4565      0.0362      0.0186       0.006       0.077       0.118       4.579       0.009       0.526      11.712        0.16      38322.    0.2954  
        9.48      0.2503      0.4712      0.0341      0.0181       0.006       0.075       0.111       4.454       0.009       0.495      11.333        0.16      38351.    0.2773  
       10.08      0.2660      0.4831      0.0319      0.0175       0.006       0.073       0.104       4.313       0.008       0.463      10.938        0.16      38382.    0.2587  
       10.67      0.2816      0.4921      0.0295      0.0169       0.006       0.070       0.096       4.157       0.008       0.429      10.522        0.16      38414.    0.2396  
       11.26      0.2973      0.4977      0.0271      0.0162       0.005       0.067       0.089       3.985       0.008       0.394      10.081        0.16      38448.    0.2201  
       11.85      0.3129      0.4994      0.0247      0.0155       0.005       0.064       0.081       3.800       0.007       0.358       9.611        0.16      38482.    0.2000  
       12.45      0.3286      0.4966      0.0221      0.0146       0.005       0.061       0.072       3.601       0.007       0.321       9.102        0.16      38518.    0.1795  
       13.04      0.3442      0.4884      0.0196      0.0138       0.005       0.057       0.064       3.388       0.006       0.284       8.544        0.16      38556.    0.1583  
       13.63      0.3599      0.4734      0.0169      0.0129       0.004       0.053       0.055       3.160       0.006       0.245       7.921        0.16      38594.    0.1365  
       14.22      0.3755      0.4497      0.0142      0.0119       0.004       0.049       0.046       2.919       0.006       0.206       7.211        0.16      38634.    0.1139  
       14.82      0.3912      0.4144      0.0115      0.0108       0.004       0.045       0.037       2.663       0.005       0.167       6.380        0.16      38675.    0.0906  
       15.41      0.4068      0.3633      0.0087      0.0097       0.003       0.040       0.028       2.393       0.005       0.126       5.377        0.16      38717.    0.0664  
       16.00      0.4225      0.2888      0.0059      0.0086       0.003       0.036       0.019       2.108       0.004       0.085       4.116        0.16      38761.    0.0418  
       16.59      0.4381      0.1779      0.0030      0.0074       0.002       0.031       0.010       1.808       0.003       0.043       2.446        0.16      38806.    0.0177  
       17.19      0.4538      0.0051      0.0001      0.0061       0.002       0.025       0.000       1.492       0.003       0.001       0.068        0.16      38853.    0.0001  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       6000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0568      0.0204       0.012       0.122       0.267       8.657       0.014       1.186      13.973        0.19      45621.    0.5293  
        0.71      0.0157      0.0429      0.0560      0.0204       0.012       0.122       0.263       8.684       0.014       1.170      13.737        0.19      45636.    0.5167  
        1.42      0.0313      0.0842      0.0551      0.0205       0.012       0.123       0.259       8.705       0.014       1.152      13.494        0.19      45653.    0.5037  
        2.13      0.0470      0.1240      0.0542      0.0205       0.012       0.123       0.255       8.719       0.014       1.133      13.247        0.19      45670.    0.4903  
        2.85      0.0626      0.1622      0.0532      0.0205       0.012       0.123       0.250       8.725       0.014       1.112      12.994        0.19      45689.    0.4765  
        3.56      0.0783      0.1987      0.0521      0.0205       0.012       0.123       0.245       8.721       0.014       1.089      12.737        0.19      45710.    0.4623  
        4.27      0.0939      0.2335      0.0510      0.0205       0.012       0.123       0.239       8.706       0.014       1.065      12.476        0.19      45731.    0.4478  
        4.98      0.1096      0.2667      0.0497      0.0204       0.012       0.122       0.234       8.678       0.014       1.039      12.211        0.19      45754.    0.4329  
        5.69      0.1252      0.2980      0.0484      0.0203       0.012       0.122       0.227       8.635       0.014       1.011      11.942        0.19      45778.    0.4176  
        6.40      0.1409      0.3276      0.0470      0.0202       0.012       0.121       0.221       8.577       0.014       0.981      11.669        0.19      45803.    0.4020  
        7.12      0.1566      0.3554      0.0454      0.0200       0.011       0.120       0.214       8.501       0.014       0.950      11.392        0.19      45830.    0.3861  
        7.83      0.1722      0.3813      0.0438      0.0198       0.011       0.118       0.206       8.405       0.013       0.916      11.111        0.19      45858.    0.3698  
        8.54      0.1879      0.4052      0.0421      0.0195       0.011       0.117       0.198       8.288       0.013       0.880      10.824        0.19      45888.    0.3531  
        9.25      0.2035      0.4271      0.0403      0.0192       0.011       0.115       0.189       8.149       0.013       0.842      10.531        0.19      45919.    0.3360  
        9.96      0.2192      0.4469      0.0383      0.0188       0.011       0.112       0.180       7.985       0.013       0.801      10.232        0.19      45952.    0.3185  
       10.67      0.2348      0.4644      0.0363      0.0184       0.010       0.110       0.171       7.796       0.012       0.759       9.923        0.19      45986.    0.3006  
       11.39      0.2505      0.4794      0.0342      0.0178       0.010       0.107       0.161       7.581       0.012       0.714       9.604        0.19      46022.    0.2822  
       12.10      0.2661      0.4917      0.0319      0.0173       0.010       0.103       0.150       7.339       0.012       0.667       9.272        0.19      46059.    0.2634  
       12.81      0.2818      0.5011      0.0296      0.0166       0.009       0.100       0.139       7.070       0.011       0.619       8.923        0.19      46098.    0.2441  
       13.52      0.2975      0.5070      0.0272      0.0160       0.009       0.095       0.128       6.774       0.011       0.568       8.554        0.19      46138.    0.2243  
       14.23      0.3131      0.5091      0.0247      0.0152       0.009       0.091       0.116       6.455       0.010       0.517       8.160        0.19      46179.    0.2040  
       14.94      0.3288      0.5067      0.0222      0.0144       0.008       0.086       0.104       6.111       0.010       0.463       7.735        0.19      46222.    0.1831  
       15.66      0.3444      0.4988      0.0196      0.0135       0.008       0.081       0.092       5.742       0.009       0.409       7.268        0.19      46267.    0.1617  
       16.37      0.3601      0.4841      0.0169      0.0126       0.007       0.075       0.080       5.349       0.009       0.354       6.746        0.19      46313.    0.1396  
       17.08      0.3757      0.4605      0.0142      0.0116       0.007       0.069       0.067       4.932       0.008       0.298       6.151        0.19      46361.    0.1167  
